No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	
DSQ
36	Raikkonen	Ville	FIN	14	22	28.9	6.4	0	0	0	0	0	3	6	8	9	5	0	0	0
37	Popov	Alexandr	BLR	10	24	20.3	8.4	0	0	0	0	0	2	5	8	9	1	0	0	0
38	Heymann	Carsten	GER	8	32	32.8	6.9	0	0	0	0	0	2	4	4	5	3	0	0	0
39	Ozbolt	Janez	SLO	13	36	40.8	3.4	0	0	0	0	0	2	3	3	6	7	0	0	0
40	Cattarinussi	Rene	ITA	13	30	26.2	4.8	0	0	0	0	0	1	4	9	10	3	0	0	0
41	Andresen	Frode	NOR	11	42	32.2	3.5	0	0	0	0	0	1	4	5	9	2	0	0	0
42	Neuner	Reinhard	AUT	12	34	36.8	3.8	0	0	0	0	0	1	3	7	8	4	0	0	0
43	Poklukar	Joze	SLO	14	39	46.4	3.0	0	0	0	0	0	1	3	4	6	8	0	0	0
44	Oftedal	Kjell Ove	NOR	7	40	30.4	6.0	0	0	0	0	0	1	3	3	5	2	0	0	0
45	Chochriakov	Igor	BLR	9	45	39.4	3.9	0	0	0	0	0	1	2	3	3	6	0	0	0
46	Obererlacher	Hannes	AUT	14	50	47.6	1.9	0	0	0	0	0	1	2	2	6	8	0	0	0
47	Globocnik	Tomas	SLO	13	55	51.5	1.6	0	0	0	0	0	1	1	2	4	9	0	0	0
48	Dostal	Roman	CZE	8	57	63.6	2.1	0	0	0	0	0	1	1	1	1	7	0	0	0
49	Nakums	Jekabs	LAT	3	59	41.3	5.3	0	0	0	0	0	1	1	1	1	2	0	0	0
50	Aidarov	Alexei	BLR	13	35	33.5	3.5	0	0	0	0	0	0	4	6	8	5	0	0	0
51	Masarik	Ivan	CZE	10	48	40.4	3.1	0	0	0	0	0	0	4	5	5	5	0	0	0
52	Dusserre	Thierry	FRA	13	44	36.1	2.8	0	0	0	0	0	0	3	6	9	4	0	0	0
53	Chabloz	Jean Marc	SUI	13	47	45.2	2.4	0	0	0	0	0	0	3	3	6	7	0	0	0
54	Lekan	Bostjan	SLO	14	46	44.2	2.4	0	0	0	0	0	0	2	4	7	7	0	0	0
55	Holubec	Jiri	CZE	9	51	33.2	3.0	0	0	0	0	0	0	2	4	6	3	0	0	0
56	Hanevold	Halvard	NOR	7	53	33.7	3.1	0	0	0	0	0	0	2	4	6	1	0	0	0
57	Ojaste	Kalju	EST	7	58	50.0	2.4	0	0	0	0	0	0	2	3	3	4	0	0	0
58	Redkin	Evgenij	BLR	8	54	52.6	2.8	0	0	0	0	0	0	2	2	3	5	0	0	0
59	Perner	Wolfgang	AUT	14	56	44.8	1.4	0	0	0	0	0	0	1	4	6	8	0	0	0
60	Garabik	Petr	CZE	14	63	42.2	1.1	0	0	0	0	0	0	1	3	7	7	0	0	0
61	Eriksson	Jonas	SWE	10	73	42.2	0.7	0	0	0	0	0	0	1	3	5	5	0	0	0
62	Dolniy	Taras	UKR	6	68	42.5	1.7	0	0	0	0	0	0	1	2	4	2	0	0	0
63	Eloranta	Harri	FIN	7	64	41.7	2.0	0	0	0	0	0	0	1	2	3	4	0	0	0
