"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Japan","2009","Total","February","Data tabulated by year of occurrence","Final figure, complete","2011","80924","1"
"Japan","2009","Total","March","Data tabulated by year of occurrence","Final figure, complete","2011","87865","1"
"Japan","2009","Total","April","Data tabulated by year of occurrence","Final figure, complete","2011","87207","1"
"Japan","2009","Total","May","Data tabulated by year of occurrence","Final figure, complete","2011","87241","1"
"Japan","2009","Total","June","Data tabulated by year of occurrence","Final figure, complete","2011","87313","1"
"Japan","2009","Total","July","Data tabulated by year of occurrence","Final figure, complete","2011","93968","1"
"Japan","2009","Total","August","Data tabulated by year of occurrence","Final figure, complete","2011","91793","1"
"Japan","2009","Total","September","Data tabulated by year of occurrence","Final figure, complete","2011","92075","1"
"Japan","2009","Total","October","Data tabulated by year of occurrence","Final figure, complete","2011","92997","1"
"Japan","2009","Total","November","Data tabulated by year of occurrence","Final figure, complete","2011","85752","1"
"Japan","2009","Total","December","Data tabulated by year of occurrence","Final figure, complete","2011","91580","1"
"Japan","2009","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2011","0","1"
"Japan","2008","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2009","1091156","1"
"Japan","2008","Total","January","Data tabulated by year of occurrence","Final figure, complete","2009","91675","1"
"Japan","2008","Total","February","Data tabulated by year of occurrence","Final figure, complete","2009","85021","1"
"Japan","2008","Total","March","Data tabulated by year of occurrence","Final figure, complete","2009","89185","1"
"Japan","2008","Total","April","Data tabulated by year of occurrence","Final figure, complete","2009","88047","1"
"Japan","2008","Total","May","Data tabulated by year of occurrence","Final figure, complete","2009","91523","1"
"Japan","2008","Total","June","Data tabulated by year of occurrence","Final figure, complete","2009","87541","1"
"Japan","2008","Total","July","Data tabulated by year of occurrence","Final figure, complete","2009","94982","1"
"Japan","2008","Total","August","Data tabulated by year of occurrence","Final figure, complete","2009","93720","1"
"Japan","2008","Total","September","Data tabulated by year of occurrence","Final figure, complete","2009","95118","1"
"Japan","2008","Total","October","Data tabulated by year of occurrence","Final figure, complete","2009","94630","1"
"Japan","2008","Total","November","Data tabulated by year of occurrence","Final figure, complete","2009","87388","1"
"Japan","2008","Total","December","Data tabulated by year of occurrence","Final figure, complete","2009","92326","1"
"Japan","2008","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2009","0","1"
"Japan","2007","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","1089818","1"
"Japan","2007","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","91885","1"
"Japan","2007","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","81794","1"
"Japan","2007","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","89701","1"
"Japan","2007","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","87369","1"
"Japan","2007","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","91894","1"
"Japan","2007","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","88833","1"
"Japan","2007","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","94050","1"
"Japan","2007","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","94487","1"
"Japan","2007","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","92946","1"
"Japan","2007","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","96066","1"
"Japan","2007","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","89689","1"
"Japan","2007","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","91104","1"
"Japan","2007","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Japan","2006","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2007","1092674","1"
"Japan","2006","Total","January","Data tabulated by year of occurrence","Final figure, complete","2007","90977","1"
"Japan","2006","Total","February","Data tabulated by year of occurrence","Final figure, complete","2007","82851","1"
"Japan","2006","Total","March","Data tabulated by year of occurrence","Final figure, complete","2007","90903","1"
"Japan","2006","Total","April","Data tabulated by year of occurrence","Final figure, complete","2007","87981","1"
"Japan","2006","Total","May","Data tabulated by year of occurrence","Final figure, complete","2007","92228","1"
"Japan","2006","Total","June","Data tabulated by year of occurrence","Final figure, complete","2007","89773","1"
"Japan","2006","Total","July","Data tabulated by year of occurrence","Final figure, complete","2007","93813","1"
"Japan","2006","Total","August","Data tabulated by year of occurrence","Final figure, complete","2007","95200","1"
"Japan","2006","Total","September","Data tabulated by year of occurrence","Final figure, complete","2007","93137","1"
"Japan","2006","Total","October","Data tabulated by year of occurrence","Final figure, complete","2007","93524","1"
"Japan","2006","Total","November","Data tabulated by year of occurrence","Final figure, complete","2007","90053","1"
"Japan","2006","Total","December","Data tabulated by year of occurrence","Final figure, complete","2007","92234","1"
"Japan","2006","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Japan","2005","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2007","1062530","1"
"Japan","2005","Total","January","Data tabulated by year of occurrence","Final figure, complete","2007","92842","1"
"Japan","2005","Total","February","Data tabulated by year of occurrence","Final figure, complete","2007","80875","1"
"Japan","2005","Total","March","Data tabulated by year of occurrence","Final figure, complete","2007","89541","1"
"Japan","2005","Total","April","Data tabulated by year of occurrence","Final figure, complete","2007","86281","1"
"Japan","2005","Total","May","Data tabulated by year of occurrence","Final figure, complete","2007","87151","1"
"Japan","2005","Total","June","Data tabulated by year of occurrence","Final figure, complete","2007","87165","1"
"Japan","2005","Total","July","Data tabulated by year of occurrence","Final figure, complete","2007","90976","1"
"Japan","2005","Total","August","Data tabulated by year of occurrence","Final figure, complete","2007","92455","1"
"Japan","2005","Total","September","Data tabulated by year of occurrence","Final figure, complete","2007","92705","1"
"Japan","2005","Total","October","Data tabulated by year of occurrence","Final figure, complete","2007","90770","1"
"Japan","2005","Total","November","Data tabulated by year of occurrence","Final figure, complete","2007","83990","1"
"Japan","2005","Total","December","Data tabulated by year of occurrence","Final figure, complete","2007","87779","1"
"Japan","2005","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Japan","2004","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2007","1110721","1"
"Japan","2004","Total","January","Data tabulated by year of occurrence","Final figure, complete","2007","94171","1"
"Japan","2004","Total","February","Data tabulated by year of occurrence","Final figure, complete","2007","87080","1"
"Japan","2004","Total","March","Data tabulated by year of occurrence","Final figure, complete","2007","93251","1"
"Japan","2004","Total","April","Data tabulated by year of occurrence","Final figure, complete","2007","91581","1"
"Japan","2004","Total","May","Data tabulated by year of occurrence","Final figure, complete","2007","91952","1"
"Japan","2004","Total","June","Data tabulated by year of occurrence","Final figure, complete","2007","89451","1"
"Japan","2004","Total","July","Data tabulated by year of occurrence","Final figure, complete","2007","97373","1"
"Japan","2004","Total","August","Data tabulated by year of occurrence","Final figure, complete","2007","94517","1"
"Japan","2004","Total","September","Data tabulated by year of occurrence","Final figure, complete","2007","95947","1"
"Japan","2004","Total","October","Data tabulated by year of occurrence","Final figure, complete","2007","92463","1"
"Japan","2004","Total","November","Data tabulated by year of occurrence","Final figure, complete","2007","90221","1"
"Japan","2004","Total","December","Data tabulated by year of occurrence","Final figure, complete","2007","92714","1"
"Japan","2003","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2006","1123610","1"
"Japan","2003","Total","January","Data tabulated by year of occurrence","Final figure, complete","2006","96324","1"
"Japan","2003","Total","February","Data tabulated by year of occurrence","Final figure, complete","2006","84712","1"
"Japan","2003","Total","March","Data tabulated by year of occurrence","Final figure, complete","2006","92321","1"
"Japan","2003","Total","April","Data tabulated by year of occurrence","Final figure, complete","2006","91416","1"
"Japan","2003","Total","May","Data tabulated by year of occurrence","Final figure, complete","2006","95863","1"
"Japan","2003","Total","June","Data tabulated by year of occurrence","Final figure, complete","2006","91671","1"
"Japan","2003","Total","July","Data tabulated by year of occurrence","Final figure, complete","2006","99235","1"
"Japan","2003","Total","August","Data tabulated by year of occurrence","Final figure, complete","2006","97381","1"
