"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Norway","2000","Total","November","Data tabulated by year of occurrence","Final figure, complete","2004","4280",""
"Norway","2000","Total","December","Data tabulated by year of occurrence","Final figure, complete","2004","4480",""
"Norway","1999","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2000","59298",""
"Norway","1999","Total","January","Data tabulated by year of occurrence","Final figure, complete","2000","4768",""
"Norway","1999","Total","February","Data tabulated by year of occurrence","Final figure, complete","2000","4610",""
"Norway","1999","Total","March","Data tabulated by year of occurrence","Final figure, complete","2000","5358",""
"Norway","1999","Total","April","Data tabulated by year of occurrence","Final figure, complete","2000","5207",""
"Norway","1999","Total","May","Data tabulated by year of occurrence","Final figure, complete","2000","5389",""
"Norway","1999","Total","June","Data tabulated by year of occurrence","Final figure, complete","2000","5064",""
"Norway","1999","Total","July","Data tabulated by year of occurrence","Final figure, complete","2000","5208",""
"Norway","1999","Total","August","Data tabulated by year of occurrence","Final figure, complete","2000","5158",""
"Norway","1999","Total","September","Data tabulated by year of occurrence","Final figure, complete","2000","5026",""
"Norway","1999","Total","October","Data tabulated by year of occurrence","Final figure, complete","2000","4710",""
"Norway","1999","Total","November","Data tabulated by year of occurrence","Final figure, complete","2000","4318",""
"Norway","1999","Total","December","Data tabulated by year of occurrence","Final figure, complete","2000","4482",""
"Norway","1998","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1999","58352",""
"Norway","1998","Total","January","Data tabulated by year of occurrence","Final figure, complete","1999","4742",""
"Norway","1998","Total","February","Data tabulated by year of occurrence","Final figure, complete","1999","4614",""
"Norway","1998","Total","March","Data tabulated by year of occurrence","Final figure, complete","1999","5185",""
"Norway","1998","Total","April","Data tabulated by year of occurrence","Final figure, complete","1999","5317",""
"Norway","1998","Total","May","Data tabulated by year of occurrence","Final figure, complete","1999","5021",""
"Norway","1998","Total","June","Data tabulated by year of occurrence","Final figure, complete","1999","4974",""
"Norway","1998","Total","July","Data tabulated by year of occurrence","Final figure, complete","1999","5319",""
"Norway","1998","Total","August","Data tabulated by year of occurrence","Final figure, complete","1999","5068",""
"Norway","1998","Total","September","Data tabulated by year of occurrence","Final figure, complete","1999","5091",""
"Norway","1998","Total","October","Data tabulated by year of occurrence","Final figure, complete","1999","4641",""
"Norway","1998","Total","November","Data tabulated by year of occurrence","Final figure, complete","1999","4232",""
"Norway","1998","Total","December","Data tabulated by year of occurrence","Final figure, complete","1999","4148",""
"Norway","1997","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1998","59801",""
"Norway","1997","Total","January","Data tabulated by year of occurrence","Final figure, complete","1998","5274",""
"Norway","1997","Total","February","Data tabulated by year of occurrence","Final figure, complete","1998","4760",""
"Norway","1997","Total","March","Data tabulated by year of occurrence","Final figure, complete","1998","5244",""
"Norway","1997","Total","April","Data tabulated by year of occurrence","Final figure, complete","1998","5446",""
"Norway","1997","Total","May","Data tabulated by year of occurrence","Final figure, complete","1998","5244",""
"Norway","1997","Total","June","Data tabulated by year of occurrence","Final figure, complete","1998","5154",""
"Norway","1997","Total","July","Data tabulated by year of occurrence","Final figure, complete","1998","5284",""
"Norway","1997","Total","August","Data tabulated by year of occurrence","Final figure, complete","1998","5074",""
"Norway","1997","Total","September","Data tabulated by year of occurrence","Final figure, complete","1998","4993",""
"Norway","1997","Total","October","Data tabulated by year of occurrence","Final figure, complete","1998","4700",""
"Norway","1997","Total","November","Data tabulated by year of occurrence","Final figure, complete","1998","4204",""
"Norway","1997","Total","December","Data tabulated by year of occurrence","Final figure, complete","1998","4424",""
"Norway","1996","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1997","60927",""
"Norway","1996","Total","January","Data tabulated by year of occurrence","Final figure, complete","1997","4975",""
"Norway","1996","Total","February","Data tabulated by year of occurrence","Final figure, complete","1997","4875",""
"Norway","1996","Total","March","Data tabulated by year of occurrence","Final figure, complete","1997","5408",""
"Norway","1996","Total","April","Data tabulated by year of occurrence","Final figure, complete","1997","5409",""
"Norway","1996","Total","May","Data tabulated by year of occurrence","Final figure, complete","1997","5387",""
"Norway","1996","Total","June","Data tabulated by year of occurrence","Final figure, complete","1997","5074",""
"Norway","1996","Total","July","Data tabulated by year of occurrence","Final figure, complete","1997","5343",""
"Norway","1996","Total","August","Data tabulated by year of occurrence","Final figure, complete","1997","5054",""
"Norway","1996","Total","September","Data tabulated by year of occurrence","Final figure, complete","1997","4939",""
"Norway","1996","Total","October","Data tabulated by year of occurrence","Final figure, complete","1997","4975",""
"Norway","1996","Total","November","Data tabulated by year of occurrence","Final figure, complete","1997","4762",""
"Norway","1996","Total","December","Data tabulated by year of occurrence","Final figure, complete","1997","4726",""
"Norway","1995","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1996","60292",""
"Norway","1995","Total","January","Data tabulated by year of occurrence","Final figure, complete","1996","4972",""
"Norway","1995","Total","February","Data tabulated by year of occurrence","Final figure, complete","1996","4788",""
"Norway","1995","Total","March","Data tabulated by year of occurrence","Final figure, complete","1996","5364",""
"Norway","1995","Total","April","Data tabulated by year of occurrence","Final figure, complete","1996","5333",""
"Norway","1995","Total","May","Data tabulated by year of occurrence","Final figure, complete","1996","5351",""
"Norway","1995","Total","June","Data tabulated by year of occurrence","Final figure, complete","1996","5274",""
"Norway","1995","Total","July","Data tabulated by year of occurrence","Final figure, complete","1996","5405",""
"Norway","1995","Total","August","Data tabulated by year of occurrence","Final figure, complete","1996","5143",""
"Norway","1995","Total","September","Data tabulated by year of occurrence","Final figure, complete","1996","5030",""
"Norway","1995","Total","October","Data tabulated by year of occurrence","Final figure, complete","1996","4718",""
"Norway","1995","Total","November","Data tabulated by year of occurrence","Final figure, complete","1996","4613",""
